name,Player ID,Game Date,Team,Opponent,At Bats,Runs,Hits,Total Bases,Doubles,Triples,Home Runs,RBIs,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Batting Average,On Base %,Slugging %,Hit By Pitch,Sac Bunts,Sac Flies
Luis García,472610,2025-03-19,Los Angeles Dodgers,Chicago Cubs,5,1,2,2,0,0,0,0,1,0,2,0,0,0.4,0.5,0.4,0,0,0
Luis García,472610,2025-03-28,Los Angeles Dodgers,Detroit Tigers,4,2,1,3,0,1,0,0,1,1,0,0,0,0.333,0.4,0.75,0,0,0
Luis García,472610,2025-03-29,Los Angeles Dodgers,Detroit Tigers,7,1,2,4,0,1,0,0,0,0,2,0,0,0.313,0.286,0.571,0,0,0
Luis García,472610,2025-03-31,Los Angeles Dodgers,Atlanta Braves,4,0,1,1,0,0,0,0,0,0,2,0,0,0.3,0.25,0.25,0,0,0
Luis García,472610,2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,4,0,0,0,0,0,0,0,1,1,1,0,0,0.25,0.2,0.0,0,0,0
Luis García,472610,2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,2,0,0,0,0,0,0,0,3,0,0,0,0,0.231,0.6,0.0,0,0,0
Luis García,472610,2025-04-08,Los Angeles Dodgers,Washington Nationals,4,0,1,1,0,0,0,0,0,0,0,0,0,0.233,0.25,0.25,0,0,0
Luis García,472610,2025-04-12,Los Angeles Dodgers,Chicago Cubs,4,4,3,7,1,0,1,0,1,0,0,0,0,0.294,0.8,1.75,0,0,0
Luis García,472610,2025-04-15,Los Angeles Dodgers,Colorado Rockies,3,0,0,0,0,0,0,0,0,0,1,0,0,0.27,0.0,0.0,0,0,0
Luis García,472610,2025-04-20,Los Angeles Dodgers,Texas Rangers,2,0,0,0,0,0,0,0,1,0,1,0,0,0.256,0.333,0.0,0,0,0
Luis García,472610,2025-04-22,Los Angeles Dodgers,Chicago Cubs,4,0,1,2,1,0,0,0,0,0,3,0,0,0.256,0.25,0.5,0,0,0
Luis García,472610,2025-04-23,Los Angeles Dodgers,Chicago Cubs,3,0,1,1,0,0,0,0,1,0,1,1,0,0.261,0.5,0.333,0,0,0
Luis García,472610,2025-04-25,Los Angeles Dodgers,Pittsburgh Pirates,3,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.0,0.0,0,0,0
Luis García,472610,2025-04-27,Los Angeles Dodgers,Pittsburgh Pirates,2,0,0,0,0,0,0,0,0,0,1,0,0,0.235,0.0,0.0,0,0,0
Luis García,472610,2025-04-29,Los Angeles Dodgers,Miami Marlins,3,0,0,0,0,0,0,0,1,0,0,0,0,0.222,0.25,0.0,0,0,0
Luis García,472610,2025-05-03,Los Angeles Dodgers,Atlanta Braves,5,0,2,2,0,0,0,0,1,0,3,0,0,0.237,0.5,0.4,0,0,0
Luis García,472610,2025-05-04,Los Angeles Dodgers,Atlanta Braves,3,0,1,1,0,0,0,0,0,0,0,0,0,0.242,0.333,0.333,0,0,0
Luis García,472610,2025-05-06,Los Angeles Dodgers,Miami Marlins,5,2,3,5,2,0,0,0,0,0,1,0,1,0.269,0.6,1.0,0,0,0
Luis García,472610,2025-05-09,Los Angeles Dodgers,Arizona Diamondbacks,5,0,1,1,0,0,0,0,1,0,1,0,0,0.264,0.333,0.2,0,0,0
Luis García,472610,2025-05-13,Los Angeles Dodgers,Athletics,3,1,2,3,1,0,0,0,0,0,0,0,0,0.28,0.667,1.0,0,0,0
Kirby Yates,489446,2025-03-19,Los Angeles Dodgers,Chicago Cubs,4,0,1,1,0,0,0,0,0,0,2,0,0,0.25,0.25,0.25,0,0,0
Kirby Yates,489446,2025-03-28,Los Angeles Dodgers,Detroit Tigers,3,0,0,0,0,0,0,0,0,0,2,0,0,0.143,0.0,0.0,0,0,0
Kirby Yates,489446,2025-03-29,Los Angeles Dodgers,Detroit Tigers,3,0,0,0,0,0,0,0,0,0,3,0,0,0.1,0.0,0.0,0,0,0
Kirby Yates,489446,2025-04-02,Los Angeles Dodgers,Atlanta Braves,4,0,1,1,0,0,0,0,0,0,2,1,0,0.143,0.25,0.25,0,0,0
Kirby Yates,489446,2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,4,2,2,3,1,0,0,0,1,0,1,0,0,0.222,0.6,0.75,0,0,0
Kirby Yates,489446,2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,2,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.0,0.0,0,0,0
Kirby Yates,489446,2025-04-09,Los Angeles Dodgers,Washington Nationals,3,0,0,0,0,0,0,0,0,0,2,0,0,0.174,0.0,0.0,0,0,0
Kirby Yates,489446,2025-04-11,Los Angeles Dodgers,Chicago Cubs,3,0,0,0,0,0,0,0,0,0,2,0,0,0.154,0.0,0.0,0,0,0
Kirby Yates,489446,2025-04-14,Los Angeles Dodgers,Colorado Rockies,3,0,1,2,1,0,0,0,1,0,0,0,0,0.172,0.6,0.667,1,0,0
Kirby Yates,489446,2025-04-15,Los Angeles Dodgers,Colorado Rockies,4,0,1,2,1,0,0,0,1,0,3,0,0,0.182,0.4,0.5,0,0,0
Kirby Yates,489446,2025-04-18,Los Angeles Dodgers,Texas Rangers,3,0,0,0,0,0,0,0,0,0,2,0,0,0.167,0.0,0.0,0,0,0
Kirby Yates,489446,2025-04-19,Los Angeles Dodgers,Texas Rangers,2,2,2,6,1,0,1,0,0,0,0,0,0,0.211,1.0,3.0,0,0,0
Kirby Yates,489446,2025-04-22,Los Angeles Dodgers,Chicago Cubs,1,0,0,0,0,0,0,0,1,0,1,1,0,0.205,0.5,0.0,0,0,0
